Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Blenniidae,"Petroscirtes xestus","Jordan & Seale, 1906"," M",native," Bearded sabretooth blenny (English)",,"7.50 cm TL male/unsexed ",,"Recorded from Maumere Bay and Pulau Seribu; with an Indonesian distribution from Moluccas to Java (Ref. 47567). Also Ref. 48636.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pexes_u5.jpg"", ""Open image"")"
Blenniidae,"Phenablennius heyligeri","(Bleeker, 1859)"," Fr, Br",native,,,"5.30 cm SL male/unsexed ",,"Known from Sumatra and Borneo (Ref. 7050).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Phhey_f0.jpg"", ""Open image"")"
Blenniidae,"Plagiotremus laudandus","(Whitley, 1961)"," M",native," False harptail-blenny (English)",,"8.00 cm TL male/unsexed ",,"Known from Flores (Ref. 8631, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Bali, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Also Ref. 48636.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pllau_u7.jpg"", ""Open image"")"
Blenniidae,"Plagiotremus phenax","Smith-Vaniz, 1976"," M",native,,,"8.00 cm TL male/unsexed ",,"Recorded from Pulau Weh; with an Indonesian distribution from N. Sumatra (Ref. 47567, 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Plphe_u0.jpg"", ""Open image"")"
Blenniidae,"Plagiotremus rhinorhynchos","(Bleeker, 1852)"," M",native," Dr neon (Malay), Cleaner mimic (English), Tube-worm blenny (English)",,"12.00 cm SL male/unsexed ",,"Type locality: Ceram (Ref. 48636). Recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Sangalakki Island and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Plrhi_u0.jpg"", ""Open image"")"
Blenniidae,"Plagiotremus spilistius","Gill, 1865"," M",native,,,"17.40 cm SL male/unsexed ",,"Museum: Irian Jaya, S coast off Paulau Adi Is., USNM 222106 (Ref. 7401). With an Indonesian distribution from N. Sulawesi (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Plspi_u0.gif"", ""Open image"")"
Blenniidae,"Plagiotremus tapeinosoma","(Bleeker, 1857)"," M",native," Hit and run blenny (English), Mimic blenny (English)",,"14.00 cm TL male/unsexed ",,"Type locality: Ambon (Ref. 48636). Recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pltap_u9.jpg"", ""Open image"")"
Blenniidae,"Praealticus bilineatus","(Peters, 1868)"," M",native,,,"9.00 cm TL male/unsexed ",,"Recorded from Maumere Bay; with an Indonesian distribution from the Moluccas (Ref. 47567). Also known from Ambon (Ref. 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Prbil_u0.jpg"", ""Open image"")"
Blenniidae,"Praealticus oortii","(Bleeker, 1851)"," M",native,,,"6.00 cm TL male/unsexed ",,"Type locality: Pelabuanratu, 7°00'S, 106°32'E, Java (Ref. 46206). With an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also known from Bali (Ref. 90102).","No picture yet."
Blenniidae,"Praealticus semicrenatus","(Chapman, 1951)"," M",native," Lembeh rockskipper (English)",,"6.00 cm TL male/unsexed ",,"Type locality: Lembeh Strait, Sulawesi (Celebes) (Ref. 46206, 90102).","No picture yet."
Blenniidae,"Praealticus triangulus","(Chapman, 1951)"," M",native,,,"7.00 cm TL male/unsexed ",,"With an Indonesian distribution from southern Java to western Sumatra (Ref. 47567). Also Ref. 90102.","No picture yet."
Blenniidae,"Rhabdoblennius snowi","(Fowler, 1928)"," M",questionable,,,"7.00 cm TL male/unsexed ",,"Occurrence outside distributional range (Ref. 76835), needs further confirmation. Recorded from Raja Ampat Islands; with an Indonesian distribution from Papua (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Rhsno_u2.jpg"", ""Open image"")"
Blenniidae,"Salarias ceramensis","Bleeker, 1853"," M",native," Ceram blenny (English)",,"15.00 cm TL male/unsexed ",,"Type locality: Ceram (Ref. 48636). Recorded from Bali; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Known from Java and Kalimantan (Ref. 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Sacer_u1.jpg"", ""Open image"")"
Blenniidae,"Salarias fasciatus","(Bloch, 1786)"," M, Sp",native," Banded jewelled-blenny (English)",,"14.00 cm TL male/unsexed ",,"Known from Bali. Also recorded from Raja Ampat Islands, Maumere Bay, Komodo, Manado and vicinity, Pulau Bintan, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 48636.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Safas_ud.jpg"", ""Open image"")"
Blenniidae,"Salarias guttatus","Valenciennes, 1836"," M",native," Breast-spot blenny (English)",,"10.00 cm TL male/unsexed ",,"From Flores. Also recorded from Bali, Komodo and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 48636, 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Sapat_u0.jpg"", ""Open image"")"
Blenniidae,"Salarias obscurus","Bath, 1992"," M",native,,,"13.00 cm TL male/unsexed ",,"Northeastern Kalimantan and West Papua.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Saobs_u0.jpg"", ""Open image"")"
Blenniidae,"Salarias patzneri","Bath, 1992"," M",native,,,"5.50 cm TL male/unsexed ",,"Type locality: Bali, Menjangan Island. Recorded from Raja Ampat Islands, Maumere Bay, Manado and vicinity, Pulau Bintan, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Sapat_u1.jpg"", ""Open image"")"
Blenniidae,"Salarias ramosus","Bath, 1992"," M",native," Snowflake blenny (English)",,"14.00 cm TL male/unsexed ",,"Recorded from Raja Ampat Islands, Komodo, Manado and vicinity, Togean and Banggai Islands; with an Indonesian distribution from Komodo and Bali to N. Sulawesi (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Saram_u0.jpg"", ""Open image"")"
Blenniidae,"Salarias segmentatus","Bath & Randall, 1991"," M",native," Red-spotted blenny (English)",,"11.00 cm TL male/unsexed ",,"Known from northeast Borneo, Sulawesi and Aru Islands. Also recorded from Raja Ampat Islands, Maumere Bay, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Also Ref. 48636, 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Saseg_u3.jpg"", ""Open image"")"
Blenniidae,"Salarias sexfilum","Günther, 1861"," M",native,,,,,"With an Indonesian distribution from Lucipara Islands to Sumba (Ref. 47567).","No picture yet."
Blenniidae,"Salarias sibogai","Bath, 1992"," M",native," Siboga blenny (English)",,"5.00 cm TL male/unsexed ",,"Type locality: Reef 2700 m north of s. point of South Lucipara I., Pulau Pulau Is., Indonesia (Ref. 46206). Endemic: Papua to Flores (Ref. 47567). Sumba, Lucipara Is. And Sanana Is. (Ref. 90102).","No picture yet."
Blenniidae,"Salarias sinuosus","Snyder, 1908"," M",native,,,"6.00 cm TL male/unsexed ",,"With an Indonesian distribution from Bali to Sulawesi (Ref. 47567). Known from Watubela Island and Sanana Island (Ref. 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Sasin_u0.jpg"", ""Open image"")"
Blenniidae,"Stanulus seychellensis","Smith, 1959"," M",native,,,"4.00 cm TL male/unsexed ",,"With an Indonesian distribution from the Molucca Islands (Ref. 47567). Also Ref. 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Stsey_u0.jpg"", ""Open image"")"
Blenniidae,"Xiphasia matsubarai","Okada & Suzuki, 1952"," M",native,,,"30.00 cm SL male/unsexed ",,"With an Indonesian distribution from S. Flores (Ref. 47567) and West Papua (Ref. 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ximat_u0.jpg"", ""Open image"")"
Blenniidae,"Xiphasia setifer","Swainson, 1839"," M",native," Hairtail blenny (English)",,"53.00 cm SL male/unsexed ",,"Recorded from Bali and Maumere Bay; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: CSIRO CA2282, from southwest Sumatra to Bali Strait (Ref. 5978). Also Ref. 8631, 48636.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Xiset_u1.jpg"", ""Open image"")"
Bothidae,"Arnoglossus aspilos","(Bleeker, 1851)"," M",native," Mata sebelah (Malay)",,"19.00 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Arasp_u0.jpg"", ""Open image"")"
Bothidae,"Arnoglossus dalgleishi","(von Bonde, 1922)"," M",native,,,"20.00 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: BMNH 1984.1.1.103 (PJPW28).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ardal_u0.jpg"", ""Open image"")"
Bothidae,"Arnoglossus debilis","(Gilbert, 1905)"," M",native,,,"17.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: NTM S.10760-007 (TGT1745).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ardeb_u0.jpg"", ""Open image"")"
Bothidae,"Arnoglossus elongatus","Weber, 1913"," M",native," Slender flounder (English)",,"11.00 cm TL male/unsexed ",,"Known from Madura. Also Ref. 9824.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Arelo_u1.jpg"", ""Open image"")"
Bothidae,"Arnoglossus macrolophus","Alcock, 1889"," M",native,,,"13.00 cm TL male/unsexed ",,"Reported from Sumatra (Padang), Java Sea.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Armac_u0.gif"", ""Open image"")"
Bothidae,"Arnoglossus polyspilus","(Günther, 1880)"," M",native," Short-nose flounder (English)",,"24.00 cm TL male/unsexed ",,"Also Ref. 9824.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Arpol_u0.jpg"", ""Open image"")"
Bothidae,"Arnoglossus tapeinosoma","(Bleeker, 1865)"," M",native,,,"12.70 cm TL male/unsexed ;10.26 cm SL female ",,"Museum: Padang, Sumatra, RMNH 6748 (holotype of A. tapeinosomus, 10.26 cm SL, female) (Ref. 30564).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Artap_u0.jpg"", ""Open image"")"
Bothidae,"Asterorhombus cocosensis","(Bleeker, 1855)"," M",native," Angler flounder (English)",,"11.97 cm SL male/unsexed ",,"Museum: W end of Ceram, Marsegoe Bay, AMS I.18469-099 (Ref. 27904). Also Ref. 27904.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Encoc_m0.gif"", ""Open image"")"
Bothidae,"Asterorhombus intermedius","(Bleeker, 1865)"," M",native," Large-scale flounder (English)",,"20.00 cm SL male/unsexed ",,"Known from the Java Sea (Ref. 1602); Sulawesi and Jampea (Flores Sea) (Ref. 57759). Also Ref. 3132.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Asint_u1.jpg"", ""Open image"")"
Bothidae,"Bothus mancus","(Broussonet, 1782)"," M",native," Peacock flounder (English), Tampar perempuan (Malay)",,"51.00 cm NG male/unsexed ",,"Recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity and Pulau Seribu; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Boman_u3.jpg"", ""Open image"")"
Bothidae,"Bothus myriaster","(Temminck & Schlegel, 1846)"," M",native,,,"27.00 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: BMNH 1984.1.1.104 (TGT (PJPW)694).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomyr_m0.jpg"", ""Open image"")"
Bothidae,"Bothus ocellatus","(Agassiz, 1831)"," M",native," Ikan sebelah (Malay), Eyed flounder (English)",,"18.00 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Booce_u2.jpg"", ""Open image"")"
Bothidae,"Bothus pantherinus","(Rüppell, 1830)"," M, Fi",native," Leopard flounder (English), Ikan sebelah bundar (Malay), Kalempede (Bajo), Kalepa (Palo)",,"39.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Also recorded from Raja Ampat Islands, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: NTM S.10733-013 (TGT1100). Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bopan_ug.jpg"", ""Open image"")"
Bothidae,"Chascanopsetta lugubris","Alcock, 1894"," M, Fi",native,,,"40.00 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: BMNH 1984.1.1.106.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Chlug_u0.jpg"", ""Open image"")"
Bothidae,"Crossorhombus azureus","(Alcock, 1889)"," M",native,,,"18.00 cm TL male/unsexed ",,"Known from the Aru Islands.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Crazu_u0.jpg"", ""Open image"")"
Bothidae,"Engyprosopon grandisquama","(Temminck & Schlegel, 1846)"," M, Fi",native,,,"15.00 cm TL male/unsexed ",,"Type locality of Rhombus poecilurus, Ambon Island, Molucca Islands (Ref. 126076). Reported from southwest Sumatra to Bali Strait. Museum: CSIRO CA3066 (Ref. 5978).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Engra_u4.jpg"", ""Open image"")"
Bothidae,"Engyprosopon maldivense","(Regan, 1908)"," M",native,,,"12.70 cm SL male/unsexed ",,"Type locality of Engyprosopon borneensis, northeast of Datoe [Datoae] Point, north coast of Borneo (Ref. 126076).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Enmal_u1.jpg"", ""Open image"")"
Bothidae,"Engyprosopon mogkii","(Bleeker, 1854)"," M",native,,,"11.00 cm SL male/unsexed ",,"Type locality of Rhombus mogkii, Manado, Sulawesi (Ref. 126076).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Enmog_u0.gif"", ""Open image"")"
Bothidae,"Engyprosopon xystrias","Hubbs, 1915"," M",native," Tail-spots flounder (English)",,"16.00 cm SL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Enxys_u0.gif"", ""Open image"")"
Bothidae,"Grammatobothus polyophthalmus","(Bleeker, 1865)"," M",native,,,"21.00 cm TL male/unsexed ",,"Also Ref. 11441.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Grpol_u0.jpg"", ""Open image"")"
Bothidae,"Kamoharaia megastoma","(Kamohara, 1936)"," M",native,,,"22.50 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Kameg_u1.jpg"", ""Open image"")"
Bothidae,"Laeops guentheri","Alcock, 1890"," M",misidentification,,,"14.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: NTM S.10751-003 (TGT1674) (Ref. 5978).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Lague_u0.gif"", ""Open image"")"
Bothidae,"Neolaeops microphthalmus","(von Bonde, 1922)"," M",native,,,"21.00 cm SL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: NTM S.10998-004 (TGT2526).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nemic_u1.jpg"", ""Open image"")"
Bothidae,"Parabothus kiensis","(Tanaka, 1918)"," M",native,,,"20.30 cm SL male/unsexed ",,"Known from southern Indonesia.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pakie_u0.jpg"", ""Open image"")"
Bothidae,"Psettina brevirictis","(Alcock, 1890)"," M",native,,,"8.00 cm SL male/unsexed ",,"Known from Celebes (Ref. 9824).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Psbre_u0.gif"", ""Open image"")"
Bothidae,"Psettina gigantea","Amaoka, 1963"," M",native,,,"13.00 cm SL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Psgig_u0.jpg"", ""Open image"")"
Bothidae,"Psettina iijimae","(Jordan & Starks, 1904)"," M",native,,,"9.59 cm SL male/unsexed ",,"Known from southern Indonesia.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Psiij_u0.jpg"", ""Open image"")"
Bothidae,"Psettina profunda","(Weber, 1913)"," M",native,,,"11.00 cm SL male/unsexed ",,"Known only from Java, Madura Sea, and Timor Sea.","No picture yet."
Botiidae,"Chromobotia macracanthus","(Bleeker, 1852)"," Fr, Fi, Rstr, Or",endemic," Entebering (Iban), Ikan macan (Malay), Ulang uli (Malay)","fairly common (chances are about 50%)","30.50 cm TL male/unsexed ","20 TL","Known from Sumatra and Borneo. Found in the Kapuas Lakes area in Kalimantan Barat, Borneo (Ref. 56749). Recorded from Danau Sentarum National Park in the Kapuas basin, Kalimantan Barat, Borneo (Ref. 56749). Exported in large quantities for the ornamental trade. Individuals larger than 15 cm cannot be exported (Ref. 12217), in an effort to safeguard the breeding stock (Ref. 13274). Also Ref. 26580.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomac_u3.jpg"", ""Open image"")"
Botiidae,"Syncrossus hymenophysa","(Bleeker, 1852)"," Fr, Or",native," Avematjan (Bahasa Indonesia), Pansik (Iban), Langli (Malay), Pansek (Iban), Engkadik (Malay)",,"21.00 cm SL male/unsexed ",,"Known from Sumatra and Borneo (Lake Tundai, South Borneo (Ref. 42107). Found in the Kapuas Lakes area in Kalimantan Barat, Borneo (Ref. 56749). Recorded from Danau Sentarum National Park in the Kapuas basin, Kalimantan Barat (Ref. 56749). Also Ref. 2091.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bohym_j0.jpg"", ""Open image"")"
Botiidae,"Syncrossus reversus","(Roberts, 1989)"," Fr",native,,,"10.30 cm SL male/unsexed ",,"Known from Sumatra, Borneo and Java. Also Ref. 26580.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Borev_u0.gif"", ""Open image"")"
Bramidae,"Brama dussumieri","Cuvier, 1831"," M",native,,,"22.50 cm SL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: NTM S.11119-001. In range Ref. 3326.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brbra_u0.jpg"", ""Open image"")"
Bramidae,"Taractes rubescens","(Jordan & Evermann, 1887)"," M",native,,,"89.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: LPPL JIF50 (TGT2125).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tarub_m0.jpg"", ""Open image"")"
Bregmacerotidae,"Bregmaceros anchovia","Ho, Endo & Lee, 2020"," M",native,,,"8.15 cm SL male/unsexed ",,"Known off Lombok and Postillon Islands (Ref. 123140).","No picture yet."
Bregmacerotidae,"Bregmaceros atlanticus","Goode & Bean, 1886"," M",questionable,,,"7.80 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait, as B. japonicus. Museum: NTM S.10998-003 (TGT2521) (Ref. 5978). Needs confirmation.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bratl_u1.jpg"", ""Open image"")"
Bregmacerotidae,"Bregmaceros lanceolatus","Shen, 1960"," M",questionable,,,"11.50 cm TL male/unsexed ",,"In Ref. 5978; questionable (probably B. pseudolanceolatus according to Torii et al., 2003 (Ref. 53406:112) pending inclusion of specimens collected from the Lesser Sunda Islands (Ref. 53406).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brlan_u0.jpg"", ""Open image"")"
Bregmacerotidae,"Bregmaceros nectabanus","Whitley, 1941"," M",native,,,"7.60 cm SL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: NTM S.10824-005 (TGT2375).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brnec_u1.jpg"", ""Open image"")"
Butidae,"Bostrychus aruensis","Weber, 1911"," Fr",endemic,,,"18.00 cm SL male/unsexed ",,"Known only from the Aru Islands, Irian Jaya.","No picture yet."
Butidae,"Bostrychus microphthalmus","Hoese & Kottelat, 2005"," Fr",native,,,"7.50 cm SL male/unsexed ",,"Known from Gua Tanette cave system of the Maros karst in southern Sulawesi (Ref. 55841).","No picture yet."
Butidae,"Bostrychus sinensis","Lacepède, 1801"," Br, M",native,,,"22.00 cm SL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bosin_u1.jpg"", ""Open image"")"
Butidae,"Bostrychus strigogenys","Nichols, 1937"," Fr",native,,,"18.30 cm SL male/unsexed ",,"Known from the Digul River at Tanah Merah, Irian Jaya.","No picture yet."
Butidae,"Bostrychus zonatus","Weber, 1907"," Fr, Br",native,,,"18.50 cm SL male/unsexed ",,"Found only in fresh waters and estuaries in the vicinity of Merauke, Irian Jaya.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bozon_u0.jpg"", ""Open image"")"
Butidae,"Butis amboinensis","(Bleeker, 1853)"," Fr, Br, M",native," Olive flathead-gudgeon (English)",,"14.00 cm SL male/unsexed ",,"Type locality of Eleotris squamifrons, Sumatra, Kifa-juc, Engano Lake (Ref. 130228). Also Ref. 2847, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Buamb_u0.jpg"", ""Open image"")"
Butidae,"Butis butis","(Hamilton, 1822)"," Fr",native," Belosoh (Malay), Nyereh (Javanese), Ploso (Javanese), Puntang (Javanese)",,"15.00 cm TL male/unsexed ",,"Known from Sumatra.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bubut_u2.jpg"", ""Open image"")"
Butidae,"Butis gymnopomus","(Bleeker, 1853)"," Fr, Br",native," Latåré (Malay), Tungulian (Malay)",,"11.50 cm TL male/unsexed ",,,"No picture yet."
Butidae,"Butis humeralis","(Valenciennes, 1837)"," Br, M",native,,,"14.20 cm SL male/unsexed ",,,"No picture yet."
Butidae,"Butis koilomatodon","(Bleeker, 1849)"," Fr, Br, M",native," Puntang (Malay)",,"10.70 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Prkoi_u1.jpg"", ""Open image"")"
Butidae,"Odonteleotris canina","(Bleeker, 1849)"," M",native,,,,,"Type locality, Madura Straits near Surabaya and Kammal, Java (Ref. 40966). Needs a better faunal reference.","No picture yet."
Butidae,"Odonteleotris macrodon","(Bleeker, 1853)"," Fr, Br, M",native,,,"27.80 cm SL male/unsexed ",,"Known from Nias, eastern Java and Sulawesi (Ref. 7050).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Odmac_u0.jpg"", ""Open image"")"
Butidae,"Ophiocara gigas","Kobayashi & Sato, 2023"," Fr, Br, M",native,,,"13.72 cm SL male/unsexed ;13.52 cm SL female ",,"Recorded from Peling Island off eastern Sulawesi, and Western Papua (Ref. 133165),","No picture yet."
Butidae,"Ophiocara ophicephalus","(Valenciennes, 1837)"," Fr, Br, M",native,,,"19.27 cm SL male/unsexed ;17.58 cm SL female ",,"Type locality of Ophiocara ophicephalus in Java and Eleotris viridis Madura Straits near Surabaya and Kammal Also reported from Bali, Ceram, and Sulawesi islands (Ref. 133165). Photographs of specimens from West Papua (Ref. 130676).","No picture yet."
Butidae,"Ophiocara porocephalum","(Valenciennes, 1837)"," Fr, Br, M",native," Spangled gudgeon (English), Payangka (Malay), Beloso (Javanese), Ploso (Javanese)",,"34.00 cm TL male/unsexed ",,"Species occurring in the Indian coastal areas only (see Ref. 133165).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Oppor_u3.jpg"", ""Open image"")"
Butidae,"Oxyeleotris altipinna","Allen & Renyaan, 1996"," Fr",native,,"fairly common (chances are about 50%)","4.34 cm SL female ",,"Relatively common among dense vegetation near the shore of Lake Aiwaso, but apparently rare at the other localities. Museum: Lake Aiwaso, MZB 6190 (holotype, 4.34 cm SL, female); MZB 6191, WAM P.31042-002 (paratypes). Lake Laamora, MZB 6192. Werfyang creek, MZB 6193 (Ref. 26385).","No picture yet."
Butidae,"Oxyeleotris aruensis","(Weber, 1911)"," Fr",native,,,"16.00 cm SL male/unsexed ",,"Known from the Aru Islands in Irian Jaya.","No picture yet."
Butidae,"Oxyeleotris colasi","Pouyaud, Kadarusman & Hadiaty, 2013"," Fr",native,,,"4.30 cm SL male/unsexed ",,"Known only from the type locality, which is connected to a vast subterraneous drainage in the limestone anticline of Seraran, West Papua, lying in the western side of the Lengguru Range in West Papua Province.","No picture yet."
Butidae,"Oxyeleotris fimbriata","(Weber, 1907)"," Fr",native,,,"18.00 cm SL male/unsexed ",,"Known from Irian Jaya in Sermowai, Mamberamo, Wagani, Merauke, Digul, Lorentz, Djarua, Yakati and Bintuni river sytems and Lake Jamur and Ajamaru Lakes (Ref. 2847). Museum: Werfyang Creek, Irian Jaya, WAM P.31044 (Ref. 26385).","No picture yet."
Butidae,"Oxyeleotris herwerdenii","(Weber, 1910)"," Fr",native,,,"30.00 cm SL male/unsexed ",,"Known from the Lorentz River in Irian Jaya.","No picture yet."
Butidae,"Oxyeleotris heterodon","(Weber, 1907)"," Fr",native,,,"41.00 cm SL male/unsexed ;39.60 cm SL female ",,"Known from Lake Sentani, Irian Jaya. Also Ref. 9162.","No picture yet."
Butidae,"Oxyeleotris marmorata","(Bleeker, 1852)"," Fr, Br, Fi, Aq",native," Bakut (Bahasa Indonesia), Kedebuk (Iban), Ikan betutu (Malay), Bakutut (Bahasa Indonesia), Bakutut (Malay), Bodo-bodo (Malay), Ikan bakut (Malay), Ikan belutu (Malay), Ikan bloso (Malay), Ikan bodo (Malay), Ikan bodoh (Malay), Ikan malas (Malay), Kedebuk (Malay), Ketutuk (Malay)",,"65.00 cm SL male/unsexed ",,"Recorded from Sumatra, Kalimantan, Sulawesi, and Moluccas (Ref. 7050). Found in the Kapuas Lakes area in Kalimantan Barat, Borneo (Ref. 56749). Recorded from Danau Sentarum National Park in the Kapuas basin, Kalimantan Barat, Borneo (Ref. 56749). Also Ref. 3178, 36654, 43281.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Oxmar_u5.jpg"", ""Open image"")"
Butidae,"Oxyeleotris mertoni","(Weber, 1911)"," M",native,,,,,"Known from Maluku (Ref. 87240).","No picture yet."
Butidae,"Oxyeleotris paucipora","Roberts, 1978"," Fr",native,,,"4.50 cm SL male/unsexed ",,"Known from Digul River (at Tanah Merah), Irian Jaya.","No picture yet."
